CREATEDAT,ID,ORDERCREATIONID
2021-03-23 08:00:15.000,136389,573864
2021-03-23 14:40:12.000,140093,573611
2021-03-23 20:40:34.000,143891,573929
2021-03-24 13:00:23.000,146675,576809
2021-03-23 16:40:17.000,141454,575328
2021-03-21 07:40:29.000,121257,572272
2021-05-28 20:09:09.000,177871,686117
2021-03-21 18:20:21.000,122723,572611
2021-03-23 21:00:23.000,144172,575281
2021-03-23 04:20:20.000,134592,574605
2021-04-07 20:18:31.000,153311,593782
2021-03-23 09:40:21.000,137316,574484
2021-03-23 16:00:18.000,140982,574192
2021-03-23 08:20:17.000,136571,573926
2021-03-23 15:00:23.000,140318,573929
2021-04-06 12:09:57.000,152689,593008
2021-03-24 00:00:19.000,146191,575255
2021-03-21 22:40:22.000,123680,573161
2021-03-22 17:40:23.000,129706,573958
2021-03-24 17:35:23.000,147250,577236
2021-04-17 22:59:40.000,158250,616327
2021-03-23 15:40:21.000,140712,573508
2021-03-23 15:40:22.000,140827,575380
2021-03-21 16:20:29.000,122325,572430
2021-03-22 01:40:18.000,124442,572948
2021-03-23 13:40:13.000,139425,572519
2021-04-16 10:03:33.000,157422,612887
2021-03-23 04:20:20.000,134594,574776
2021-03-26 23:00:36.000,148965,580737
2021-03-23 15:00:23.000,140249,572599
2021-04-28 14:15:00.000,162882,628517
2021-03-22 21:20:22.000,131258,574007
2021-03-23 20:20:18.000,143708,574265
2021-03-22 18:40:22.000,130009,572252
2021-03-22 17:20:20.000,129526,573132
2021-03-22 15:20:25.000,128691,572587
2021-03-23 15:20:20.000,140619,575397
2021-04-09 16:21:01.000,154294,601350
2021-03-23 04:40:17.000,134751,574453
2021-03-21 07:40:29.000,121264,572404
2021-03-23 10:00:25.000,137517,575216
2021-03-23 12:40:19.000,138848,572447
2021-03-11 22:57:42.000,102250,554850
2021-03-12 15:37:24.000,103827,555669
2021-03-22 14:20:27.000,128366,573881
2021-03-22 02:00:13.000,124469,572192
2021-03-22 09:20:17.000,126660,573919
2021-03-23 22:40:22.000,145105,572291
2021-03-23 22:40:23.000,145267,575289
2021-03-23 15:00:23.000,140341,574116
2021-03-23 12:00:27.000,138633,575320
2021-04-22 21:15:10.000,160215,615673
2021-03-22 15:20:25.000,128679,572467
2021-03-23 21:40:16.000,144576,574484
2021-03-22 06:20:17.000,125714,572948
2021-05-24 20:24:25.000,175851,668881
2021-03-23 02:40:13.000,133779,574436
2021-03-22 22:00:35.000,131470,572595
2021-03-10 17:04:51.000,100815,556546
2021-03-23 11:20:22.000,138092,572315
2021-03-21 20:00:31.000,123070,572726
2021-03-26 20:48:16.000,148901,576775
2021-05-20 08:07:02.000,173463,664715
2021-03-22 09:20:17.000,126624,573032
2021-03-23 03:20:16.000,134084,574116
2021-03-23 11:40:16.000,138344,573551
2021-03-22 14:00:27.000,128195,572644
2021-03-23 22:00:24.000,144833,575320
2021-03-22 01:00:24.000,124272,573132
2021-03-23 16:20:24.000,141166,573933
2021-03-23 15:40:22.000,140786,574860
2021-03-23 18:20:20.000,142338,572587
2021-03-23 23:00:34.000,145342,572333
2021-03-23 14:40:12.000,140208,575448
2021-03-22 00:00:24.000,123980,572404
2021-03-23 02:20:15.000,133591,573943
2021-03-15 22:05:55.000,105531,563166
2021-03-22 12:20:26.000,127645,573834
2021-03-21 16:00:27.000,122300,572675
2021-03-23 23:00:34.000,145386,572775
2021-04-09 14:30:27.000,154186,601146
2021-03-23 11:40:17.000,138394,574174
2021-05-20 12:44:09.000,173488,672341
2021-03-23 15:40:22.000,140816,575320
2021-03-23 21:00:24.000,144210,576000
2021-04-01 17:06:00.000,151002,587633
2021-03-23 22:00:24.000,144815,575185
2021-03-22 13:40:21.000,128091,573081
2021-03-23 07:40:13.000,136194,573209
2021-03-23 06:40:13.000,135656,572635
2021-03-22 08:00:29.000,126189,572630
2021-03-23 10:20:12.000,137571,572611
2021-03-23 19:00:28.000,142756,572549
2021-03-21 17:00:31.000,122467,572616
2021-03-23 01:20:24.000,133058,572697
2021-03-21 19:00:23.000,122840,572582
2021-03-16 04:53:28.000,105724,560944
2021-03-23 23:20:22.000,145623,573032
2021-03-24 16:40:24.000,147085,576851
2021-03-23 15:20:19.000,140463,572611
2021-03-22 12:00:25.000,127470,572593
2021-03-22 10:40:27.000,127094,573929
2021-03-21 14:40:41.000,122165,572535
2021-04-22 18:15:08.000,160118,618145
2021-03-23 11:00:18.000,138052,575050
2021-04-19 16:24:17.000,158824,613688
2021-03-22 18:20:19.000,129895,572573
2021-03-22 11:00:15.000,127201,573919
2021-03-23 05:00:17.000,134805,572582
2021-03-24 16:00:27.000,147013,576900
2021-05-31 22:47:05.000,179491,680985
2021-03-08 02:49:16.000,98898,545109
2021-03-22 21:20:21.000,131154,572404
2021-03-22 20:00:14.000,130642,573693
2021-03-19 03:11:13.000,119066,564772
2021-03-24 16:20:19.000,147063,577003
2021-04-03 11:17:27.000,151737,587385
2021-03-23 14:20:33.000,139954,574953
2021-04-01 05:17:31.000,150835,588329
2021-04-15 22:59:43.000,157207,610617
2021-03-23 19:40:26.000,143178,572565
2021-03-23 19:00:29.000,142846,573969
2021-03-23 02:00:22.000,133474,574860
2021-03-23 14:20:32.000,139826,572549
2021-03-23 07:20:13.000,136121,575273
2021-05-29 23:00:30.000,178695,689819
2021-03-22 12:20:26.000,127656,573929
2021-04-19 01:57:23.000,158683,615721
2021-03-22 15:20:26.000,128758,573906
2021-03-23 15:00:23.000,140276,572913
2021-03-21 23:00:33.000,123763,572606
2021-03-23 20:00:17.000,143452,573807
2021-03-22 23:00:28.000,132009,573895
2021-03-22 22:20:17.000,131620,572586
2021-03-24 00:00:19.000,146158,574328
2021-05-08 19:28:12.000,168243,639484
2021-03-24 14:40:28.000,146872,576960
2021-03-22 23:20:16.000,132073,572345
2021-03-23 01:20:24.000,133030,572535
2021-03-23 21:20:27.000,144328,573938
2021-03-23 13:20:19.000,139369,575106
2021-03-22 19:40:32.000,130467,572746
2021-05-01 19:45:11.000,164500,639934
2021-03-22 19:40:31.000,130450,572613
2021-03-23 23:00:34.000,145341,572315
2021-04-07 17:54:35.000,153267,597682
2021-03-22 06:00:22.000,125595,572613
2021-03-23 18:40:19.000,142599,573551
2021-03-22 01:40:18.000,124451,573209
2021-03-23 22:00:24.000,144802,574832
2021-03-21 09:40:25.000,121452,572192
2021-03-23 23:20:22.000,145576,572430
2021-03-23 17:00:26.000,141605,574192
2021-03-22 11:20:21.000,127309,573906
2021-03-22 20:40:20.000,130977,574057
2021-03-22 20:20:18.000,130790,573834
2021-03-23 09:00:19.000,136931,573949
2021-03-22 22:00:36.000,131518,573611
2021-03-23 14:20:32.000,139836,572601
2021-03-21 14:00:43.000,122053,572565
2021-03-23 22:00:24.000,144803,574860
2021-03-23 09:40:21.000,137270,573881
2021-03-22 15:00:23.000,128611,573673
2021-03-22 18:00:17.000,129746,572430
2021-03-22 19:40:32.000,130512,573919
2021-03-23 18:00:16.000,142229,574297
2021-03-22 14:20:27.000,128297,572560
2021-03-23 05:40:22.000,135163,572804
2021-03-23 02:40:13.000,133695,572726
2021-03-23 23:00:35.000,145452,574032
2021-03-23 22:00:24.000,144726,573267
2021-03-23 14:40:12.000,140033,572503
2021-04-24 22:59:36.000,161331,627989
2021-03-23 21:40:16.000,144529,573864
2021-04-20 15:52:32.000,159183,612868
2021-04-11 22:59:35.000,155274,605223
2021-03-22 14:40:25.000,128446,572675
2021-03-23 09:20:19.000,137057,572822
2021-03-22 11:00:15.000,127132,572587
2021-04-05 14:51:12.000,152374,591975
2021-03-23 19:40:26.000,143293,574508
2021-03-23 04:20:19.000,134457,572291
2021-03-22 05:20:25.000,125422,572712
2021-03-23 18:40:19.000,142608,573738
2021-03-21 19:00:23.000,122848,572611
2021-03-23 18:40:19.000,142628,573938
2021-03-23 08:40:16.000,136809,575224
2021-03-22 21:00:22.000,131090,573881
2021-03-22 15:00:22.000,128560,572595
2021-04-15 02:45:48.000,156755,605420
2021-03-23 13:00:13.000,139197,575314
2021-03-23 21:00:23.000,144021,572467
2021-03-21 12:47:41.000,121863,572613
2021-03-23 05:00:18.000,134931,575012
2021-03-23 23:40:20.000,145975,575328
2021-03-22 18:40:22.000,130093,573834
2021-03-23 02:20:15.000,133553,573209
2021-03-23 05:20:22.000,135058,573990
2021-03-23 22:20:21.000,145008,574355
2021-04-26 23:37:49.000,162255,631510
2021-03-23 01:00:15.000,132874,572573
2021-03-24 00:00:19.000,146154,574217
